search_engine,search_string,title,media,timestamp,link
Google,Tata Merger,"Tata Capital, Tata Motors Finance merger receives RBI's approval",Business Standard,14 Oct 2024,https://www.business-standard.com/companies/news/tata-capital-tata-motors-finance-merger-receives-rbi-s-approval-124101401020_1.html
Google,Tata Merger,"Tata Tech, just merge with Tata Elxsi",The Ken,1 week ago,https://the-ken.com/story/tata-tech-just-merge-with-tata-elxsi/
Google,Tata Merger,How are Tata Group companies linked? Why Tata Capital’s IPO could unlock value across conglomerate,Upstox,1 month ago,https://upstox.com/news/business-news/latest-updates/explained-why-tata-capital-s-potential-ipo-impacting-tata-group-stocks-how-are-the-companies-linked/article-136880/
Google,Tata Merger,NCLT asks two Tata NBFCs to seek merger nod from stakeholders,The Economic Times,7 Dec 2024,https://m.economictimes.com/industry/banking/finance/banking/nclt-asks-two-tata-nbfcs-to-seek-merger-nod-from-stakeholders/articleshow/116056343.cms
Google,Tata Merger,"Merger with Tata Motors Finance will broaden Tata Capital’s product portfolio, says Fitch",The Hindu BusinessLine,24 Jun 2024,https://www.thehindubusinessline.com/companies/merger-with-tata-motors-finance-will-broaden-tata-capitals-product-portfolio-says-fitch/article68327326.ece
Google,Tata Merger,Air India-Vistara Merger: Strategic Win or Tata’s Gamble?,Skift,17 Sept 2024,https://skift.com/2024/09/17/air-india-vistara-merger-strategic-win-or-tatas-gamble/
Google,Tata Merger,Tata Sons & Singapore Airlines celebrate Vistara’s merger with Air India,CNBC TV18,18 Nov 2024,https://www.cnbctv18.com/business/aviation/tata-sons-singapore-airlines-celebrate-vistaras-merger-with-air-india-19511222.htm
Google,Tata Merger,Air India-Vistara merger completed: Tata-group airline becomes India’s largest international carrier; here’s how,mint,12 Nov 2024,https://www.livemint.com/companies/news/air-india-vistara-merger-completes-singapore-airlines-to-invest-rs-3-194-5-crore-in-indias-largest-international-carti-11731413602450.html
Google,Tata Merger,"Vistara merger done, Singapore Airlines now 25.1% stakeholder in Tata's Air India",Times of India,12 Nov 2024,https://timesofindia.indiatimes.com/business/india-business/vistara-merger-done-singapore-airlines-now-25-1-stakeholder-in-tatas-air-india/articleshow/115216286.cms
Google,Tata Merger,Tata Capital and Tata Motors Finance merger: NCLT asks NBFCs to seek shareholders' nod,ET Now,7 Dec 2024,https://www.etnownews.com/companies/tata-capital-and-tata-motors-finance-merger-nclt-asks-nbfcs-to-seek-shareholders-nod-article-116063123
Google,Tata Merger,CCI Approves Proposed Merger Of Tata Motors Finance Limited With Tata Capital Limited,Live Law,12 Sept 2024,https://www.livelaw.in/consumer-cases/cci-approves-proposed-merger-of-tata-motors-finance-limited-with-tata-capital-limited-269464
Google,Tata Merger,Air India-Vistara merger finalised – Tata Group's airline now India's biggest international carrier - Airlines/Aviation News,Financialexpress,13 Nov 2024,https://www.financialexpress.com/business/airlines-aviation-air-india-vistara-merger-finalised-tata-groups-airline-now-indias-biggest-international-carrier-3663996/
Google,Tata Merger,'Air India-Vistara merger important milestone to transform it into world-class global airline': Tata Group chairman N Chandrasekaran,Business Today,14 Nov 2024,https://www.businesstoday.in/industry/aviation/story/air-india-vistara-merger-important-milestone-to-transform-it-into-world-class-global-airline-tata-group-chairman-n-chandrasekaran-453831-2024-11-14
Google,Tata Merger,Demerger of CV business undertaking of Tata Motors Ltd into a separate listed company,Tata Motors,1 Aug 2024,https://www.tatamotors.com/press-releases/demerger-of-cv-business-undertaking-of-tata-motors-ltd-into-a-separate-listed-company/
Google,Tata Merger,Tata Motors Finance merger with Tata Capital gets CCI approval,CNBC TV18,10 Sept 2024,https://www.cnbctv18.com/market/tata-motors-finance-merger-with-tata-capital-gets-cci-approval-19474176.htm
Google,Tata Merger,CCI clears proposed merger of Tata Motors Finance into Tata Capital,Business Standard,10 Sept 2024,https://www.business-standard.com/companies/news/cci-clears-proposed-merger-of-tata-motors-finance-into-tata-capital-124091001168_1.html
Google,Tata Merger,CCI approves Tata Motors Finance merger with Tata Capital,The Economic Times,10 Sept 2024,https://m.economictimes.com/industry/banking/finance/cci-approves-tata-motors-finance-merger-with-tata-capital/articleshow/113231964.cms
Google,Tata Merger,Bharti Airtel-Tata Play entity may not have representatives from Tata Group on board,Business Today,1 month ago,https://www.businesstoday.in/latest/corporate/story/bharti-airtel-tata-play-entity-may-not-have-representatives-from-tata-group-on-board-459793-2025-01-07
Google,Tata Merger,"Vedanta, UltraTech, Tata Motors among 8 mergers and demergers to track",The Economic Times,2 weeks ago,https://m.economictimes.com/markets/stocks/news/vedanta-ultratech-tata-motors-among-8-mergers-and-demergers-to-track/corporate-radar/slideshow/117677020.cms
Bing,Tata Merger,"Mohini Mohan Dutta: 'Mystery man' of Ratan Tata's will, set to get richer by Rs 500 crore due to...",Msn,1h,https://www.msn.com/en-in/money/topstories/mohini-mohan-dutta-mystery-man-of-ratan-tatas-will-set-to-get-richer-by-rs-500-crore-due-to/ar-AA1yJRBs?ocid=BingNewsVerp
Bing,Tata Merger,"Latest Car and Bike News Live Updates Today February 10, 2025: 2025 Tata Tigor gets a new top end variant. Here’s what the new variant has to offer",Msn,3h,https://www.msn.com/en-in/autos/buying/latest-car-and-bike-news-live-updates-today-february-10-2025-2025-tata-tigor-gets-a-new-top-end-variant-here-s-what-the-new-variant-has-to-offer/ar-AA1yIxKb?ocid=BingNewsVerp
Bing,Tata Merger,"1:1 Split: Tata's Auto Stock Climbs On Big Demerger Update, Shantanu Naidu Gets Top Role; 18 Brokers Give BUY",Goodreturns,5d,https://www.goodreturns.in/personal-finance/1-1-split-tatas-auto-stock-tata-motors-climbs-big-demerger-update-shantanu-naidu-18-brokers-say-buy-1404265.html
Bing,Tata Merger,Mohini Mohan Dutta: The Mystery Man Who May Inherit Ratan Tata's Rs 500 Crore,Ndtv,3d,https://www.ndtv.com/india-news/mohini-mohan-dutta-the-mystery-man-who-may-inherit-ratan-tatas-rs-500-crore-7654369
Bing,Tata Merger,"Who is Mohini Mohan Dutta, the man who gets ₹500 crore in Ratan Tata’s will",Cnbctv18,3d,https://www.cnbctv18.com/business/ratan-tata-will-names-mystery-beneficiary-who-is-mohini-mohan-dutta-19554257.htm
Bing,Tata Merger,Ratan Tata bequeaths ₹500 crore to mystery man; Who is Mohini Mohan Dutta?,Fortuneindia,3d,https://www.fortuneindia.com/enterprise/ratan-tata-bequeaths-500-crore-to-mystery-man-who-is-mohini-mohan-dutta/120446
